GV12|SEQ00870
GV17|SEQ00266
GV15|SEQ00342
GV34|SEQ00217
GV33|SEQ01132
GV14|SEQ00787
GV29|SEQ01037
GV26|SEQ01052
GV27|SEQ00013
GV32|SEQ01172
GV25|SEQ00392
GV23|SEQ01053
GV35|SEQ01084
GV31|SEQ00854
GV28|SEQ00537
GV22|SEQ01219
GV24|SEQ01190
GV30|SEQ01332
GV18|SEQ00728
GV19|SEQ01193
GV13|SEQ00977
GV21|SEQ00902
GV20|SEQ00313
GV16|SEQ00418
LON3|SEQ00852
LON1|SEQ00989
INF1|SEQ00366
LON2|SEQ01045
LON4|SEQ00369
THE1|SEQ00343
BRE2|SEQ00429
BRE7|SEQ00402
BRE5|SEQ00400
BRE6|SEQ00340
BRE9|SEQ00470
BRE4|SEQ00376
BRE8|SEQ00429
BRE3|SEQ00426
GV02|SEQ01061
GV01|SEQ01008
GV11|SEQ01232
GV08|SEQ01265
GV03|SEQ01146
GV05|SEQ00086
GV09|SEQ01292
GV07|SEQ00395
GV10|SEQ00327
GV04|SEQ00351
GV06|SEQ00351
ANI2|SEQ01384
ANI3|SEQ01393
BRE1|SEQ00367
BIF1|SEQ00355
ADO1|SEQ01372
ANI1|SEQ01384
