GV12|SEQ01106
GV17|SEQ01024
GV15|SEQ00586
GV34|SEQ00063
GV33|SEQ00386
GV14|SEQ00247
GV30|SEQ00969
GV13|SEQ01146
GV25|SEQ00848
GV26|SEQ00255
GV23|SEQ00500
GV27|SEQ00808
GV31|SEQ00155
GV29|SEQ00722
GV32|SEQ00148
GV28|SEQ01152
GV35|SEQ00888
GV21|SEQ00441
GV18|SEQ00739
GV20|SEQ00582
GV19|SEQ00975
GV16|SEQ00651
GV24|SEQ00879
GV22|SEQ00344
THE1|SEQ00869
LON3|SEQ00566
LON2|SEQ00761
LON4|SEQ00653
LON1|SEQ00694
INF1|SEQ00662
BRE2|SEQ00794
BRE8|SEQ00765
BRE9|SEQ00816
BRE6|SEQ00655
BRE5|SEQ00749
BRE7|SEQ00743
BRE3|SEQ01077
BRE4|SEQ00733
DEN2|SEQ00390
DEN1|SEQ01807
GV08|SEQ00680
GV09|SEQ00714
GV04|SEQ00855
GV11|SEQ00957
GV01|SEQ00309
GV02|SEQ00732
GV06|SEQ00081
GV10|SEQ00528
GV07|SEQ00544
GV03|SEQ00648
GV05|SEQ00784
ANI2|SEQ00977
ANI3|SEQ00981
BIF1|SEQ00731
BRE1|SEQ00698
ADO1|SEQ01293
ANI1|SEQ00977
