cds_id	ortho_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short
GV22|SEQ00045	NA	VBIGarVag276801_0045	Gardnerella vaginalis JCP7276	ATJR01000001	PATRIC	CDS	183969467	55116	55880	+	765		hypothetical protein	GV22
GV22|SEQ00120	NA	VBIGarVag276801_0120	Gardnerella vaginalis JCP7276	ATJR01000001	PATRIC	CDS	183969629	155459	157231	-	1773		hypothetical protein	GV22
GV22|SEQ00122	NA	VBIGarVag276801_0122	Gardnerella vaginalis JCP7276	ATJR01000001	PATRIC	CDS	183969633	159260	160678	+	1419		hypothetical protein	GV22
GV22|SEQ00135	NA	VBIGarVag276801_0135	Gardnerella vaginalis JCP7276	ATJR01000001	PATRIC	CDS	183969659	176708	176956	+	249		Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GV22
GV22|SEQ00227	NA	VBIGarVag276801_0227	Gardnerella vaginalis JCP7276	ATJR01000006	PATRIC	CDS	183969864	18331	18444	+	114		hypothetical protein	GV22
GV22|SEQ00416	NA	VBIGarVag276801_0417	Gardnerella vaginalis JCP7276	ATJR01000013	PATRIC	CDS	183970257	42302	42418	-	117		hypothetical protein	GV22
GV22|SEQ00616	NA	VBIGarVag276801_0617	Gardnerella vaginalis JCP7276	ATJR01000020	PATRIC	CDS	183970670	8379	8552	+	174		hypothetical protein	GV22
GV22|SEQ00700	NA	VBIGarVag276801_0701	Gardnerella vaginalis JCP7276	ATJR01000028	PATRIC	CDS	183970848	6077	6190	+	114		hypothetical protein	GV22
GV22|SEQ00756	NA	VBIGarVag276801_0757	Gardnerella vaginalis JCP7276	ATJR01000031	PATRIC	CDS	183970963	20740	20898	+	159		hypothetical protein	GV22
GV22|SEQ00757	NA	VBIGarVag276801_0758	Gardnerella vaginalis JCP7276	ATJR01000031	PATRIC	CDS	183970965	20862	20975	+	114		hypothetical protein	GV22
GV22|SEQ00759	NA	VBIGarVag276801_0760	Gardnerella vaginalis JCP7276	ATJR01000032	PATRIC	CDS	183970972	6523	6705	+	183		hypothetical protein	GV22
GV22|SEQ00806	NA	VBIGarVag276801_0807	Gardnerella vaginalis JCP7276	ATJR01000038	PATRIC	CDS	183971072	20564	20704	-	141		hypothetical protein	GV22
GV22|SEQ00958	NA	VBIGarVag276801_0959	Gardnerella vaginalis JCP7276	ATJR01000056	PATRIC	CDS	183971413	267	398	+	132		hypothetical protein	GV22
GV22|SEQ00962	NA	VBIGarVag276801_0963	Gardnerella vaginalis JCP7276	ATJR01000058	PATRIC	CDS	183971423	1028	1144	+	117		hypothetical protein	GV22
GV22|SEQ00978	NA	VBIGarVag276801_0979	Gardnerella vaginalis JCP7276	ATJR01000065	PATRIC	CDS	183971462	197	337	+	141		hypothetical protein	GV22
GV22|SEQ01001	NA	VBIGarVag276801_1002	Gardnerella vaginalis JCP7276	ATJR01000076	PATRIC	CDS	183971519	34	417	+	384		Magnesium and cobalt efflux protein CorC	GV22
GV22|SEQ01061	NA	VBIGarVag276801_1062	Gardnerella vaginalis JCP7276	ATJR01000095	PATRIC	CDS	183971668	3778	3921	-	144		hypothetical protein	GV22
GV22|SEQ01069	NA	VBIGarVag276801_1070	Gardnerella vaginalis JCP7276	ATJR01000099	PATRIC	CDS	183971688	6093	6755	+	663		hypothetical protein	GV22
GV22|SEQ01084	NA	VBIGarVag276801_1085	Gardnerella vaginalis JCP7276	ATJR01000103	PATRIC	CDS	183971722	87	263	+	177		hypothetical protein	GV22
GV22|SEQ01097	NA	VBIGarVag276801_1098	Gardnerella vaginalis JCP7276	ATJR01000107	PATRIC	CDS	183971752	498	650	+	153		hypothetical protein	GV22
GV22|SEQ01113	NA	VBIGarVag276801_1114	Gardnerella vaginalis JCP7276	ATJR01000110	PATRIC	CDS	183971789	4241	4387	-	147		hypothetical protein	GV22
GV22|SEQ01175	NA	VBIGarVag276801_1176	Gardnerella vaginalis JCP7276	ATJR01000137	PATRIC	CDS	183971946	642	1145	-	504		Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	GV22
GV22|SEQ01184	NA	VBIGarVag276801_1185	Gardnerella vaginalis JCP7276	ATJR01000149	PATRIC	CDS	183971980	710	1030	+	321		hypothetical protein	GV22
GV22|SEQ01193	NA	VBIGarVag276801_1194	Gardnerella vaginalis JCP7276	ATJR01000157	PATRIC	CDS	183972006	461	922	+	462		SSU ribosomal protein S16p	GV22
GV22|SEQ01196	NA	VBIGarVag276801_1197	Gardnerella vaginalis JCP7276	ATJR01000158	PATRIC	CDS	183972013	210	359	+	150		hypothetical protein	GV22
GV22|SEQ01209	NA	VBIGarVag276801_1210	Gardnerella vaginalis JCP7276	ATJR01000160	PATRIC	CDS	183972041	182	376	+	195		hypothetical protein	GV22
GV22|SEQ01218	NA	VBIGarVag276801_1219	Gardnerella vaginalis JCP7276	ATJR01000160	PATRIC	CDS	183972059	12518	12634	+	117		hypothetical protein	GV22
GV22|SEQ01232	NA	VBIGarVag276801_1233	Gardnerella vaginalis JCP7276	ATJR01000161	PATRIC	CDS	183972096	4395	5045	-	651		hypothetical protein	GV22
GV22|SEQ01235	NA	VBIGarVag276801_1236	Gardnerella vaginalis JCP7276	ATJR01000165	PATRIC	CDS	183972106	576	710	-	135		hypothetical protein	GV22
GV22|SEQ01287	NA	VBIGarVag276801_1288	Gardnerella vaginalis JCP7276	ATJR01000166	PATRIC	CDS	183972211	44929	45063	-	135		hypothetical protein	GV22
