"cds_id"	"ortho_id"	"full_id"	"short_id"	"seq_id"	"strain_id"
"GV04|SEQ00124"	"clust_1146"	"fid|85480097|locus|VBIGarVag246433_0124|   Xylose-responsive transcription regulator, ROK family   [Gardnerella vaginalis 0288E]"	"fid|85480097|locus|VBIGarVag246433_0124"	"SEQ00124"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00125"	"clust_1147"	"fid|85480099|locus|VBIGarVag246433_0125|   Xylulose kinase (EC 2.7.1.17)   [Gardnerella vaginalis 0288E]"	"fid|85480099|locus|VBIGarVag246433_0125"	"SEQ00125"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00127"	"clust_1053"	"fid|85480103|locus|VBIGarVag246433_0127|   L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)   [Gardnerella vaginalis 0288E]"	"fid|85480103|locus|VBIGarVag246433_0127"	"SEQ00127"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00198"	"clust_1144"	"fid|85480248|locus|VBIGarVag246433_0198|   hypothetical protein   [Gardnerella vaginalis 0288E]"	"fid|85480248|locus|VBIGarVag246433_0198"	"SEQ00198"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00219"	"clust_1143"	"fid|85480292|locus|VBIGarVag246433_0219|   ABC transporter, solute-binding protein   [Gardnerella vaginalis 0288E]"	"fid|85480292|locus|VBIGarVag246433_0219"	"SEQ00219"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00221"	"clust_1142"	"fid|85480296|locus|VBIGarVag246433_0221|   ABC-type sugar transport system, permease component   [Gardnerella vaginalis 0288E]"	"fid|85480296|locus|VBIGarVag246433_0221"	"SEQ00221"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00222"	"clust_1141"	"fid|85480298|locus|VBIGarVag246433_0222|   Beta-galactosidase (EC 3.2.1.23)   [Gardnerella vaginalis 0288E]"	"fid|85480298|locus|VBIGarVag246433_0222"	"SEQ00222"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00223"	"clust_1140"	"fid|85480300|locus|VBIGarVag246433_0223|   Alpha-L-fucosidase (EC 3.2.1.51)   [Gardnerella vaginalis 0288E]"	"fid|85480300|locus|VBIGarVag246433_0223"	"SEQ00223"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00383"	"clust_1148"	"fid|85480641|locus|VBIGarVag246433_0383|   Galactokinase (EC 2.7.1.6)   [Gardnerella vaginalis 0288E]"	"fid|85480641|locus|VBIGarVag246433_0383"	"SEQ00383"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00384"	"clust_1149"	"fid|85480643|locus|VBIGarVag246433_0384|   FIG01114224: hypothetical protein   [Gardnerella vaginalis 0288E]"	"fid|85480643|locus|VBIGarVag246433_0384"	"SEQ00384"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00396"	"clust_1158"	"fid|85480668|locus|VBIGarVag246433_0396|   hypothetical protein   [Gardnerella vaginalis 0288E]"	"fid|85480668|locus|VBIGarVag246433_0396"	"SEQ00396"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00574"	"clust_1053"	"fid|85481040|locus|VBIGarVag246433_0574|   L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)   [Gardnerella vaginalis 0288E]"	"fid|85481040|locus|VBIGarVag246433_0574"	"SEQ00574"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00680"	"clust_1150"	"fid|85481256|locus|VBIGarVag246433_0680|   transcription regulator, probable   [Gardnerella vaginalis 0288E]"	"fid|85481256|locus|VBIGarVag246433_0680"	"SEQ00680"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00681"	"clust_1151"	"fid|85481258|locus|VBIGarVag246433_0681|   Zeta toxin   [Gardnerella vaginalis 0288E]"	"fid|85481258|locus|VBIGarVag246433_0681"	"SEQ00681"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00682"	"clust_1152"	"fid|85481260|locus|VBIGarVag246433_0682|   FIG00424915: hypothetical protein   [Gardnerella vaginalis 0288E]"	"fid|85481260|locus|VBIGarVag246433_0682"	"SEQ00682"	"Gardnerella vaginalis 0288E"
"GV04|SEQ00872"	"clust_1154"	"fid|85481648|locus|VBIGarVag246433_0872|   FIG00672247: hypothetical protein   [Gardnerella vaginalis 0288E]"	"fid|85481648|locus|VBIGarVag246433_0872"	"SEQ00872"	"Gardnerella vaginalis 0288E"
