"cds_id"	"ortho_id"	"full_id"	"short_id"	"seq_id"	"strain_id"
"GV03|SEQ00049"	"clust_1372"	"fid|85499461|locus|VBIGarVag247424_0049|   FIG00672299: hypothetical protein   [Gardnerella vaginalis 00703Dmash]"	"fid|85499461|locus|VBIGarVag247424_0049"	"SEQ00049"	"Gardnerella vaginalis 00703Dmash"
"GV03|SEQ00344"	"clust_1377"	"fid|85500088|locus|VBIGarVag247424_0344|   FIG00672145: hypothetical protein   [Gardnerella vaginalis 00703Dmash]"	"fid|85500088|locus|VBIGarVag247424_0344"	"SEQ00344"	"Gardnerella vaginalis 00703Dmash"
"GV03|SEQ00409"	"clust_1360"	"fid|85500223|locus|VBIGarVag247424_0409|   Putative integral membrane protein   [Gardnerella vaginalis 00703Dmash]"	"fid|85500223|locus|VBIGarVag247424_0409"	"SEQ00409"	"Gardnerella vaginalis 00703Dmash"
"GV03|SEQ00410"	"clust_1361"	"fid|85500225|locus|VBIGarVag247424_0410|   FIG00672124: hypothetical protein   [Gardnerella vaginalis 00703Dmash]"	"fid|85500225|locus|VBIGarVag247424_0410"	"SEQ00410"	"Gardnerella vaginalis 00703Dmash"
"GV03|SEQ00411"	"clust_1362"	"fid|85500227|locus|VBIGarVag247424_0411|   Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)   [Gardnerella vaginalis 00703Dmash]"	"fid|85500227|locus|VBIGarVag247424_0411"	"SEQ00411"	"Gardnerella vaginalis 00703Dmash"
"GV03|SEQ00412"	"clust_1363"	"fid|85500229|locus|VBIGarVag247424_0412|   Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)   [Gardnerella vaginalis 00703Dmash]"	"fid|85500229|locus|VBIGarVag247424_0412"	"SEQ00412"	"Gardnerella vaginalis 00703Dmash"
"GV03|SEQ00413"	"clust_1364"	"fid|85500231|locus|VBIGarVag247424_0413|   Phosphocarrier protein of PTS system   [Gardnerella vaginalis 00703Dmash]"	"fid|85500231|locus|VBIGarVag247424_0413"	"SEQ00413"	"Gardnerella vaginalis 00703Dmash"
"GV03|SEQ00414"	"clust_1365"	"fid|85500233|locus|VBIGarVag247424_0414|   Galactose operon repressor, GalR-LacI family of transcriptional regulators   [Gardnerella vaginalis 00703Dmash]"	"fid|85500233|locus|VBIGarVag247424_0414"	"SEQ00414"	"Gardnerella vaginalis 00703Dmash"
"GV03|SEQ00764"	"clust_1381"	"fid|85500959|locus|VBIGarVag247424_0764|   FIG00672568: hypothetical protein   [Gardnerella vaginalis 00703Dmash]"	"fid|85500959|locus|VBIGarVag247424_0764"	"SEQ00764"	"Gardnerella vaginalis 00703Dmash"
"GV05|SEQ00164"	"clust_1365"	"fid|52546037|locus|VBIGarVag174900_0164|   Galactose operon repressor, GalR-LacI family of transcriptional regulators   [Gardnerella vaginalis 101]"	"fid|52546037|locus|VBIGarVag174900_0164"	"SEQ00164"	"Gardnerella vaginalis 101"
"GV05|SEQ00165"	"clust_1364"	"fid|52546039|locus|VBIGarVag174900_0165|   Phosphocarrier protein of PTS system   [Gardnerella vaginalis 101]"	"fid|52546039|locus|VBIGarVag174900_0165"	"SEQ00165"	"Gardnerella vaginalis 101"
"GV05|SEQ00166"	"clust_1363"	"fid|52546041|locus|VBIGarVag174900_0166|   Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)   [Gardnerella vaginalis 101]"	"fid|52546041|locus|VBIGarVag174900_0166"	"SEQ00166"	"Gardnerella vaginalis 101"
"GV05|SEQ00167"	"clust_1362"	"fid|52546043|locus|VBIGarVag174900_0167|   Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)   [Gardnerella vaginalis 101]"	"fid|52546043|locus|VBIGarVag174900_0167"	"SEQ00167"	"Gardnerella vaginalis 101"
"GV05|SEQ00168"	"clust_1361"	"fid|52546045|locus|VBIGarVag174900_0168|   FIG00672124: hypothetical protein   [Gardnerella vaginalis 101]"	"fid|52546045|locus|VBIGarVag174900_0168"	"SEQ00168"	"Gardnerella vaginalis 101"
"GV05|SEQ00169"	"clust_1360"	"fid|52546047|locus|VBIGarVag174900_0169|   Putative integral membrane protein   [Gardnerella vaginalis 101]"	"fid|52546047|locus|VBIGarVag174900_0169"	"SEQ00169"	"Gardnerella vaginalis 101"
"GV05|SEQ00444"	"clust_1377"	"fid|52546628|locus|VBIGarVag174900_0444|   FIG00672145: hypothetical protein   [Gardnerella vaginalis 101]"	"fid|52546628|locus|VBIGarVag174900_0444"	"SEQ00444"	"Gardnerella vaginalis 101"
"GV05|SEQ00817"	"clust_1381"	"fid|52547400|locus|VBIGarVag174900_0817|   FIG00672568: hypothetical protein   [Gardnerella vaginalis 101]"	"fid|52547400|locus|VBIGarVag174900_0817"	"SEQ00817"	"Gardnerella vaginalis 101"
"GV05|SEQ01104"	"clust_1372"	"fid|52547996|locus|VBIGarVag174900_1104|   FIG00672299: hypothetical protein   [Gardnerella vaginalis 101]"	"fid|52547996|locus|VBIGarVag174900_1104"	"SEQ01104"	"Gardnerella vaginalis 101"
"GV07|SEQ00576"	"clust_1381"	"fid|85492801|locus|VBIGarVag249177_0576|   FIG00672568: hypothetical protein   [Gardnerella vaginalis 1500E]"	"fid|85492801|locus|VBIGarVag249177_0576"	"SEQ00576"	"Gardnerella vaginalis 1500E"
"GV07|SEQ00960"	"clust_1377"	"fid|85493594|locus|VBIGarVag249177_0960|   FIG00672145: hypothetical protein   [Gardnerella vaginalis 1500E]"	"fid|85493594|locus|VBIGarVag249177_0960"	"SEQ00960"	"Gardnerella vaginalis 1500E"
"GV07|SEQ01030"	"clust_1360"	"fid|85493746|locus|VBIGarVag249177_1030|   Putative integral membrane protein   [Gardnerella vaginalis 1500E]"	"fid|85493746|locus|VBIGarVag249177_1030"	"SEQ01030"	"Gardnerella vaginalis 1500E"
"GV07|SEQ01031"	"clust_1361"	"fid|85493748|locus|VBIGarVag249177_1031|   FIG00672124: hypothetical protein   [Gardnerella vaginalis 1500E]"	"fid|85493748|locus|VBIGarVag249177_1031"	"SEQ01031"	"Gardnerella vaginalis 1500E"
"GV07|SEQ01032"	"clust_1362"	"fid|85493750|locus|VBIGarVag249177_1032|   Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)   [Gardnerella vaginalis 1500E]"	"fid|85493750|locus|VBIGarVag249177_1032"	"SEQ01032"	"Gardnerella vaginalis 1500E"
"GV07|SEQ01033"	"clust_1363"	"fid|85493752|locus|VBIGarVag249177_1033|   Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)   [Gardnerella vaginalis 1500E]"	"fid|85493752|locus|VBIGarVag249177_1033"	"SEQ01033"	"Gardnerella vaginalis 1500E"
"GV07|SEQ01034"	"clust_1364"	"fid|85493754|locus|VBIGarVag249177_1034|   Phosphocarrier protein of PTS system   [Gardnerella vaginalis 1500E]"	"fid|85493754|locus|VBIGarVag249177_1034"	"SEQ01034"	"Gardnerella vaginalis 1500E"
"GV07|SEQ01035"	"clust_1365"	"fid|85493756|locus|VBIGarVag249177_1035|   Galactose operon repressor, GalR-LacI family of transcriptional regulators   [Gardnerella vaginalis 1500E]"	"fid|85493756|locus|VBIGarVag249177_1035"	"SEQ01035"	"Gardnerella vaginalis 1500E"
"GV07|SEQ01106"	"clust_1372"	"fid|85493906|locus|VBIGarVag249177_1106|   FIG00672299: hypothetical protein   [Gardnerella vaginalis 1500E]"	"fid|85493906|locus|VBIGarVag249177_1106"	"SEQ01106"	"Gardnerella vaginalis 1500E"
"GV10|SEQ00222"	"clust_1377"	"fid|32146474|locus|VBIGarVag136958_0222|   FIG00672145: hypothetical protein   [Gardnerella vaginalis 409-05]"	"fid|32146474|locus|VBIGarVag136958_0222"	"SEQ00222"	"Gardnerella vaginalis 409-05"
"GV10|SEQ00564"	"clust_1381"	"fid|32147186|locus|VBIGarVag136958_0564|   FIG00672568: hypothetical protein   [Gardnerella vaginalis 409-05]"	"fid|32147186|locus|VBIGarVag136958_0564"	"SEQ00564"	"Gardnerella vaginalis 409-05"
"GV10|SEQ01048"	"clust_1372"	"fid|32148184|locus|VBIGarVag136958_1048|   FIG00672299: hypothetical protein   [Gardnerella vaginalis 409-05]"	"fid|32148184|locus|VBIGarVag136958_1048"	"SEQ01048"	"Gardnerella vaginalis 409-05"
"GV10|SEQ01114"	"clust_1360"	"fid|32148326|locus|VBIGarVag136958_1114|   Putative integral membrane protein   [Gardnerella vaginalis 409-05]"	"fid|32148326|locus|VBIGarVag136958_1114"	"SEQ01114"	"Gardnerella vaginalis 409-05"
"GV10|SEQ01115"	"clust_1361"	"fid|32148328|locus|VBIGarVag136958_1115|   FIG00672124: hypothetical protein   [Gardnerella vaginalis 409-05]"	"fid|32148328|locus|VBIGarVag136958_1115"	"SEQ01115"	"Gardnerella vaginalis 409-05"
"GV10|SEQ01116"	"clust_1362"	"fid|32148330|locus|VBIGarVag136958_1116|   Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)   [Gardnerella vaginalis 409-05]"	"fid|32148330|locus|VBIGarVag136958_1116"	"SEQ01116"	"Gardnerella vaginalis 409-05"
"GV10|SEQ01117"	"clust_1363"	"fid|32148332|locus|VBIGarVag136958_1117|   Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)   [Gardnerella vaginalis 409-05]"	"fid|32148332|locus|VBIGarVag136958_1117"	"SEQ01117"	"Gardnerella vaginalis 409-05"
"GV10|SEQ01118"	"clust_1364"	"fid|32148334|locus|VBIGarVag136958_1118|   Phosphocarrier protein of PTS system   [Gardnerella vaginalis 409-05]"	"fid|32148334|locus|VBIGarVag136958_1118"	"SEQ01118"	"Gardnerella vaginalis 409-05"
"GV10|SEQ01119"	"clust_1365"	"fid|32148336|locus|VBIGarVag136958_1119|   Galactose operon repressor, GalR-LacI family of transcriptional regulators   [Gardnerella vaginalis 409-05]"	"fid|32148336|locus|VBIGarVag136958_1119"	"SEQ01119"	"Gardnerella vaginalis 409-05"
"GV12|SEQ00020"	"clust_1360"	"fid|37852690|locus|VBIGarVag144721_0020|   Putative integral membrane protein   [Gardnerella vaginalis 5-1]"	"fid|37852690|locus|VBIGarVag144721_0020"	"SEQ00020"	"Gardnerella vaginalis 5-1"
"GV12|SEQ00021"	"clust_1361"	"fid|37852692|locus|VBIGarVag144721_0021|   FIG00672124: hypothetical protein   [Gardnerella vaginalis 5-1]"	"fid|37852692|locus|VBIGarVag144721_0021"	"SEQ00021"	"Gardnerella vaginalis 5-1"
"GV12|SEQ00022"	"clust_1362"	"fid|37852694|locus|VBIGarVag144721_0022|   Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)   [Gardnerella vaginalis 5-1]"	"fid|37852694|locus|VBIGarVag144721_0022"	"SEQ00022"	"Gardnerella vaginalis 5-1"
"GV12|SEQ00023"	"clust_1363"	"fid|37852696|locus|VBIGarVag144721_0023|   Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)   [Gardnerella vaginalis 5-1]"	"fid|37852696|locus|VBIGarVag144721_0023"	"SEQ00023"	"Gardnerella vaginalis 5-1"
"GV12|SEQ00024"	"clust_1364"	"fid|37852698|locus|VBIGarVag144721_0024|   Phosphocarrier protein of PTS system   [Gardnerella vaginalis 5-1]"	"fid|37852698|locus|VBIGarVag144721_0024"	"SEQ00024"	"Gardnerella vaginalis 5-1"
"GV12|SEQ00025"	"clust_1365"	"fid|37852700|locus|VBIGarVag144721_0025|   Galactose operon repressor, GalR-LacI family of transcriptional regulators   [Gardnerella vaginalis 5-1]"	"fid|37852700|locus|VBIGarVag144721_0025"	"SEQ00025"	"Gardnerella vaginalis 5-1"
"GV12|SEQ00455"	"clust_1372"	"fid|37853589|locus|VBIGarVag144721_0455|   FIG00672299: hypothetical protein   [Gardnerella vaginalis 5-1]"	"fid|37853589|locus|VBIGarVag144721_0455"	"SEQ00455"	"Gardnerella vaginalis 5-1"
"GV12|SEQ00762"	"clust_1377"	"fid|37854237|locus|VBIGarVag144721_0762|   FIG00672145: hypothetical protein   [Gardnerella vaginalis 5-1]"	"fid|37854237|locus|VBIGarVag144721_0762"	"SEQ00762"	"Gardnerella vaginalis 5-1"
"GV12|SEQ01199"	"clust_1381"	"fid|37855228|locus|VBIGarVag144721_1199|   FIG00672568: hypothetical protein   [Gardnerella vaginalis 5-1]"	"fid|37855228|locus|VBIGarVag144721_1199"	"SEQ01199"	"Gardnerella vaginalis 5-1"
"GV14|SEQ00108"	"clust_1377"	"fid|85502035|locus|VBIGarVag244375_0108|   FIG00672145: hypothetical protein   [Gardnerella vaginalis 6119V5]"	"fid|85502035|locus|VBIGarVag244375_0108"	"SEQ00108"	"Gardnerella vaginalis 6119V5"
"GV14|SEQ00281"	"clust_1381"	"fid|85502404|locus|VBIGarVag244375_0281|   FIG00672568: hypothetical protein   [Gardnerella vaginalis 6119V5]"	"fid|85502404|locus|VBIGarVag244375_0281"	"SEQ00281"	"Gardnerella vaginalis 6119V5"
"GV14|SEQ00927"	"clust_1365"	"fid|85503749|locus|VBIGarVag244375_0927|   Galactose operon repressor, GalR-LacI family of transcriptional regulators   [Gardnerella vaginalis 6119V5]"	"fid|85503749|locus|VBIGarVag244375_0927"	"SEQ00927"	"Gardnerella vaginalis 6119V5"
