"short_id"	"genome_name"	"accession"	"annotation"	"feature_type"	"na_feature_id"	"locus_tag"	"gene"	"product"	"ec_number"	"ec_name"	"figfam_id"	"go_id"	"go_term"	"pathway_id"	"pathway_name"	"ortho_id"
"fid|184000689|locus|VBIGarVag265557_0016"	"Gardnerella vaginalis JCP8481A"	"ATJG01000003"	"PATRIC"	"CDS"	184000689	"VBIGarVag265557_0016"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_2132"
"fid|184001002|locus|VBIGarVag265557_0159"	"Gardnerella vaginalis JCP8481A"	"ATJG01000012"	"PATRIC"	"CDS"	184001002	"VBIGarVag265557_0159"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_2143"
"fid|184001077|locus|VBIGarVag265557_0193"	"Gardnerella vaginalis JCP8481A"	"ATJG01000017"	"PATRIC"	"CDS"	184001077	"VBIGarVag265557_0193"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_2145"
"fid|184001221|locus|VBIGarVag265557_0260"	"Gardnerella vaginalis JCP8481A"	"ATJG01000023"	"PATRIC"	"CDS"	184001221	"VBIGarVag265557_0260"	NA	"Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)"	"3.1.4.-"	"Phosphoric diester hydrolases."	"FIG00059426"	"GO:0003723"	"RNA binding"	565	"Ether lipid metabolism"	"clust_2153"
"fid|184001383|locus|VBIGarVag265557_0337"	"Gardnerella vaginalis JCP8481A"	"ATJG01000029"	"PATRIC"	"CDS"	184001383	"VBIGarVag265557_0337"	NA	"FIG00672247: hypothetical protein"	NA	NA	"FIG00672245"	NA	NA	NA	NA	"clust_2156"
"fid|184001622|locus|VBIGarVag265557_0447"	"Gardnerella vaginalis JCP8481A"	"ATJG01000040"	"PATRIC"	"CDS"	184001622	"VBIGarVag265557_0447"	NA	"2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)"	"2.5.1.54"	"3-deoxy-7-phosphoheptulonate synthase"	"FIG00002110"	NA	NA	400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"clust_2163"
"fid|184001833|locus|VBIGarVag265557_0545"	"Gardnerella vaginalis JCP8481A"	"ATJG01000052"	"PATRIC"	"CDS"	184001833	"VBIGarVag265557_0545"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_2174"
"fid|184001914|locus|VBIGarVag265557_0585"	"Gardnerella vaginalis JCP8481A"	"ATJG01000053"	"PATRIC"	"CDS"	184001914	"VBIGarVag265557_0585"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_2177"
"fid|184001947|locus|VBIGarVag265557_0601"	"Gardnerella vaginalis JCP8481A"	"ATJG01000054"	"PATRIC"	"CDS"	184001947	"VBIGarVag265557_0601"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_2182"
"fid|184002028|locus|VBIGarVag265557_0639"	"Gardnerella vaginalis JCP8481A"	"ATJG01000059"	"PATRIC"	"CDS"	184002028	"VBIGarVag265557_0639"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_2189"
