"cds_id"	"ortho_id"	"full_id"	"short_id"	"seq_id"	"strain_id"
"GV33|SEQ00011"	"clust_2129"	"fid|184000678|locus|VBIGarVag265557_0011|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000678|locus|VBIGarVag265557_0011"	"SEQ00011"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00013"	"clust_2130"	"fid|184000683|locus|VBIGarVag265557_0013|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000683|locus|VBIGarVag265557_0013"	"SEQ00013"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00014"	"clust_2131"	"fid|184000685|locus|VBIGarVag265557_0014|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000685|locus|VBIGarVag265557_0014"	"SEQ00014"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00016"	"clust_2132"	"fid|184000689|locus|VBIGarVag265557_0016|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000689|locus|VBIGarVag265557_0016"	"SEQ00016"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00018"	"clust_2133"	"fid|184000694|locus|VBIGarVag265557_0018|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000694|locus|VBIGarVag265557_0018"	"SEQ00018"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00063"	"clust_2134"	"fid|184000786|locus|VBIGarVag265557_0063|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000786|locus|VBIGarVag265557_0063"	"SEQ00063"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00070"	"clust_2135"	"fid|184000802|locus|VBIGarVag265557_0070|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000802|locus|VBIGarVag265557_0070"	"SEQ00070"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00078"	"clust_2136"	"fid|184000819|locus|VBIGarVag265557_0078|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000819|locus|VBIGarVag265557_0078"	"SEQ00078"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00087"	"clust_2137"	"fid|184000846|locus|VBIGarVag265557_0087|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000846|locus|VBIGarVag265557_0087"	"SEQ00087"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00130"	"clust_2138"	"fid|184000939|locus|VBIGarVag265557_0130|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000939|locus|VBIGarVag265557_0130"	"SEQ00130"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00134"	"clust_2139"	"fid|184000947|locus|VBIGarVag265557_0134|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000947|locus|VBIGarVag265557_0134"	"SEQ00134"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00136"	"clust_2140"	"fid|184000953|locus|VBIGarVag265557_0136|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000953|locus|VBIGarVag265557_0136"	"SEQ00136"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00154"	"clust_2141"	"fid|184000992|locus|VBIGarVag265557_0154|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184000992|locus|VBIGarVag265557_0154"	"SEQ00154"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00158"	"clust_2142"	"fid|184001000|locus|VBIGarVag265557_0158|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001000|locus|VBIGarVag265557_0158"	"SEQ00158"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00159"	"clust_2143"	"fid|184001002|locus|VBIGarVag265557_0159|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001002|locus|VBIGarVag265557_0159"	"SEQ00159"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00192"	"clust_2144"	"fid|184001075|locus|VBIGarVag265557_0192|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001075|locus|VBIGarVag265557_0192"	"SEQ00192"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00193"	"clust_2145"	"fid|184001077|locus|VBIGarVag265557_0193|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001077|locus|VBIGarVag265557_0193"	"SEQ00193"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00215"	"clust_2146"	"fid|184001124|locus|VBIGarVag265557_0215|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001124|locus|VBIGarVag265557_0215"	"SEQ00215"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00216"	"clust_2147"	"fid|184001126|locus|VBIGarVag265557_0216|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001126|locus|VBIGarVag265557_0216"	"SEQ00216"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00220"	"clust_2148"	"fid|184001134|locus|VBIGarVag265557_0220|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001134|locus|VBIGarVag265557_0220"	"SEQ00220"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00221"	"clust_2149"	"fid|184001137|locus|VBIGarVag265557_0221|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001137|locus|VBIGarVag265557_0221"	"SEQ00221"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00226"	"clust_2150"	"fid|184001150|locus|VBIGarVag265557_0226|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001150|locus|VBIGarVag265557_0226"	"SEQ00226"	"Gardnerella vaginalis JCP8481A"
"GV33|SEQ00238"	"clust_2151"	"fid|184001175|locus|VBIGarVag265557_0238|   hypothetical protein   [Gardnerella vaginalis JCP8481A]"	"fid|184001175|locus|VBIGarVag265557_0238"	"SEQ00238"	"Gardnerella vaginalis JCP8481A"
