"short_id"	"genome_name"	"accession"	"annotation"	"feature_type"	"na_feature_id"	"locus_tag"	"gene"	"product"	"ec_number"	"ec_name"	"figfam_id"	"go_id"	"go_term"	"pathway_id"	"pathway_name"	"ortho_id"
"fid|183966662|locus|VBIGarVag274454_0015"	"Gardnerella vaginalis JCP7275"	"ATJS01000003"	"PATRIC"	"CDS"	183966662	"VBIGarVag274454_0015"	NA	"N-acylglucosamine 2-epimerase (EC 5.1.3.8)"	"5.1.3.8"	"N-acylglucosamine 2-epimerase"	"FIG00041819"	NA	NA	520	"Amino sugar and nucleotide sugar metabolism"	"clust_1155"
"fid|183967354|locus|VBIGarVag274454_0349"	"Gardnerella vaginalis JCP7275"	"ATJS01000013"	"PATRIC"	"CDS"	183967354	"VBIGarVag274454_0349"	NA	"L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)"	NA	NA	"FIG00003757"	NA	NA	NA	NA	"clust_1053"
"fid|183967358|locus|VBIGarVag274454_0351"	"Gardnerella vaginalis JCP7275"	"ATJS01000013"	"PATRIC"	"CDS"	183967358	"VBIGarVag274454_0351"	NA	"Xylulose kinase (EC 2.7.1.17)"	"2.7.1.17"	"Xylulokinase"	"FIG00000793"	"GO:0004856"	"xylulokinase activity"	40	"Pentose and glucuronate interconversions"	"clust_1147"
"fid|183967360|locus|VBIGarVag274454_0352"	"Gardnerella vaginalis JCP7275"	"ATJS01000013"	"PATRIC"	"CDS"	183967360	"VBIGarVag274454_0352"	NA	"Xylose-responsive transcription regulator, ROK family"	NA	NA	"FIG00092279"	NA	NA	NA	NA	"clust_1146"
"fid|183967426|locus|VBIGarVag274454_0383"	"Gardnerella vaginalis JCP7275"	"ATJS01000017"	"PATRIC"	"CDS"	183967426	"VBIGarVag274454_0383"	NA	"Alpha-L-fucosidase (EC 3.2.1.51)"	"3.2.1.51"	"Alpha-L-fucosidase"	"FIG00038920"	"GO:0004560"	"alpha-L-fucosidase activity"	NA	NA	"clust_1140"
"fid|183967428|locus|VBIGarVag274454_0384"	"Gardnerella vaginalis JCP7275"	"ATJS01000017"	"PATRIC"	"CDS"	183967428	"VBIGarVag274454_0384"	NA	"Beta-galactosidase (EC 3.2.1.23)"	"3.2.1.23"	"Beta-galactosidase"	"FIG00001548"	"GO:0004565"	"beta-galactosidase activity"	600	"Sphingolipid metabolism"	"clust_1141"
"fid|183967428|locus|VBIGarVag274454_0384"	"Gardnerella vaginalis JCP7275"	"ATJS01000017"	"PATRIC"	"CDS"	183967428	"VBIGarVag274454_0384"	NA	"Beta-galactosidase (EC 3.2.1.23)"	"3.2.1.23"	"Beta-galactosidase"	"FIG00001548"	"GO:0004565"	"beta-galactosidase activity"	604	"Glycosphingolipid biosynthesis - ganglio series"	"clust_1141"
"fid|183967428|locus|VBIGarVag274454_0384"	"Gardnerella vaginalis JCP7275"	"ATJS01000017"	"PATRIC"	"CDS"	183967428	"VBIGarVag274454_0384"	NA	"Beta-galactosidase (EC 3.2.1.23)"	"3.2.1.23"	"Beta-galactosidase"	"FIG00001548"	"GO:0004565"	"beta-galactosidase activity"	531	"Glycosaminoglycan degradation"	"clust_1141"
"fid|183967428|locus|VBIGarVag274454_0384"	"Gardnerella vaginalis JCP7275"	"ATJS01000017"	"PATRIC"	"CDS"	183967428	"VBIGarVag274454_0384"	NA	"Beta-galactosidase (EC 3.2.1.23)"	"3.2.1.23"	"Beta-galactosidase"	"FIG00001548"	"GO:0004565"	"beta-galactosidase activity"	52	"Galactose metabolism"	"clust_1141"
"fid|183967430|locus|VBIGarVag274454_0385"	"Gardnerella vaginalis JCP7275"	"ATJS01000017"	"PATRIC"	"CDS"	183967430	"VBIGarVag274454_0385"	NA	"ABC-type sugar transport system, permease component"	NA	NA	"FIG00005339"	NA	NA	NA	NA	"clust_1142"
"fid|183967434|locus|VBIGarVag274454_0387"	"Gardnerella vaginalis JCP7275"	"ATJS01000017"	"PATRIC"	"CDS"	183967434	"VBIGarVag274454_0387"	NA	"ABC transporter, solute-binding protein"	NA	NA	"FIG01316958"	NA	NA	NA	NA	"clust_1143"
"fid|183967765|locus|VBIGarVag274454_0545"	"Gardnerella vaginalis JCP7275"	"ATJS01000028"	"PATRIC"	"CDS"	183967765	"VBIGarVag274454_0545"	NA	"L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)"	NA	NA	"FIG00003757"	NA	NA	NA	NA	"clust_1053"
"fid|183967782|locus|VBIGarVag274454_0553"	"Gardnerella vaginalis JCP7275"	"ATJS01000029"	"PATRIC"	"CDS"	183967782	"VBIGarVag274454_0553"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_1144"
"fid|183968107|locus|VBIGarVag274454_0704"	"Gardnerella vaginalis JCP7275"	"ATJS01000044"	"PATRIC"	"CDS"	183968107	"VBIGarVag274454_0704"	NA	"hypothetical protein"	NA	NA	"FIG00638284"	NA	NA	NA	NA	"clust_1158"
"fid|183968252|locus|VBIGarVag274454_0769"	"Gardnerella vaginalis JCP7275"	"ATJS01000053"	"PATRIC"	"CDS"	183968252	"VBIGarVag274454_0769"	NA	"Galactokinase (EC 2.7.1.6)"	"2.7.1.6"	"Galactokinase"	"FIG00024073"	"GO:0004335"	"galactokinase activity"	52	"Galactose metabolism"	"clust_1148"
"fid|183968252|locus|VBIGarVag274454_0769"	"Gardnerella vaginalis JCP7275"	"ATJS01000053"	"PATRIC"	"CDS"	183968252	"VBIGarVag274454_0769"	NA	"Galactokinase (EC 2.7.1.6)"	"2.7.1.6"	"Galactokinase"	"FIG00024073"	"GO:0004335"	"galactokinase activity"	520	"Amino sugar and nucleotide sugar metabolism"	"clust_1148"
"fid|183968254|locus|VBIGarVag274454_0770"	"Gardnerella vaginalis JCP7275"	"ATJS01000053"	"PATRIC"	"CDS"	183968254	"VBIGarVag274454_0770"	NA	"FIG01114224: hypothetical protein"	NA	NA	"FIG01114223"	NA	NA	NA	NA	"clust_1149"
"fid|183968509|locus|VBIGarVag274454_0881"	"Gardnerella vaginalis JCP7275"	"ATJS01000064"	"PATRIC"	"CDS"	183968509	"VBIGarVag274454_0881"	NA	"FIG00672247: hypothetical protein"	NA	NA	"FIG00672245"	NA	NA	NA	NA	"clust_1154"
"fid|183968710|locus|VBIGarVag274454_0965"	"Gardnerella vaginalis JCP7275"	"ATJS01000085"	"PATRIC"	"CDS"	183968710	"VBIGarVag274454_0965"	NA	"Zeta toxin"	NA	NA	"FIG01346510"	NA	NA	NA	NA	"clust_1151"
"fid|183968712|locus|VBIGarVag274454_0966"	"Gardnerella vaginalis JCP7275"	"ATJS01000085"	"PATRIC"	"CDS"	183968712	"VBIGarVag274454_0966"	NA	"transcription regulator, probable"	NA	NA	"FIG01342244"	NA	NA	NA	NA	"clust_1150"
"fid|183969228|locus|VBIGarVag274454_1175"	"Gardnerella vaginalis JCP7275"	"ATJS01000169"	"PATRIC"	"CDS"	183969228	"VBIGarVag274454_1175"	NA	"FIG00424915: hypothetical protein"	NA	NA	"FIG01316768"	NA	NA	NA	NA	"clust_1152"
"fid|183969763|locus|VBIGarVag276801_0185"	"Gardnerella vaginalis JCP7276"	"ATJR01000003"	"PATRIC"	"CDS"	183969763	"VBIGarVag276801_0185"	NA	"Galactokinase (EC 2.7.1.6)"	"2.7.1.6"	"Galactokinase"	"FIG00024073"	"GO:0004335"	"galactokinase activity"	520	"Amino sugar and nucleotide sugar metabolism"	"clust_1148"
"fid|183969763|locus|VBIGarVag276801_0185"	"Gardnerella vaginalis JCP7276"	"ATJR01000003"	"PATRIC"	"CDS"	183969763	"VBIGarVag276801_0185"	NA	"Galactokinase (EC 2.7.1.6)"	"2.7.1.6"	"Galactokinase"	"FIG00024073"	"GO:0004335"	"galactokinase activity"	52	"Galactose metabolism"	"clust_1148"
"fid|183969765|locus|VBIGarVag276801_0186"	"Gardnerella vaginalis JCP7276"	"ATJR01000003"	"PATRIC"	"CDS"	183969765	"VBIGarVag276801_0186"	NA	"FIG01114224: hypothetical protein"	NA	NA	"FIG01114223"	NA	NA	NA	NA	"clust_1149"
"fid|183969883|locus|VBIGarVag276801_0236"	"Gardnerella vaginalis JCP7276"	"ATJR01000007"	"PATRIC"	"CDS"	183969883	"VBIGarVag276801_0236"	NA	"ABC transporter, solute-binding protein"	NA	NA	"FIG01316958"	NA	NA	NA	NA	"clust_1143"
"fid|183969889|locus|VBIGarVag276801_0239"	"Gardnerella vaginalis JCP7276"	"ATJR01000007"	"PATRIC"	"CDS"	183969889	"VBIGarVag276801_0239"	NA	"ABC-type sugar transport system, permease component"	NA	NA	"FIG00005339"	NA	NA	NA	NA	"clust_1142"
"fid|183969891|locus|VBIGarVag276801_0240"	"Gardnerella vaginalis JCP7276"	"ATJR01000007"	"PATRIC"	"CDS"	183969891	"VBIGarVag276801_0240"	NA	"Beta-galactosidase (EC 3.2.1.23)"	"3.2.1.23"	"Beta-galactosidase"	"FIG00001548"	"GO:0004565"	"beta-galactosidase activity"	604	"Glycosphingolipid biosynthesis - ganglio series"	"clust_1141"
"fid|183969891|locus|VBIGarVag276801_0240"	"Gardnerella vaginalis JCP7276"	"ATJR01000007"	"PATRIC"	"CDS"	183969891	"VBIGarVag276801_0240"	NA	"Beta-galactosidase (EC 3.2.1.23)"	"3.2.1.23"	"Beta-galactosidase"	"FIG00001548"	"GO:0004565"	"beta-galactosidase activity"	600	"Sphingolipid metabolism"	"clust_1141"
"fid|183969891|locus|VBIGarVag276801_0240"	"Gardnerella vaginalis JCP7276"	"ATJR01000007"	"PATRIC"	"CDS"	183969891	"VBIGarVag276801_0240"	NA	"Beta-galactosidase (EC 3.2.1.23)"	"3.2.1.23"	"Beta-galactosidase"	"FIG00001548"	"GO:0004565"	"beta-galactosidase activity"	531	"Glycosaminoglycan degradation"	"clust_1141"
"fid|183969891|locus|VBIGarVag276801_0240"	"Gardnerella vaginalis JCP7276"	"ATJR01000007"	"PATRIC"	"CDS"	183969891	"VBIGarVag276801_0240"	NA	"Beta-galactosidase (EC 3.2.1.23)"	"3.2.1.23"	"Beta-galactosidase"	"FIG00001548"	"GO:0004565"	"beta-galactosidase activity"	52	"Galactose metabolism"	"clust_1141"
"fid|183969893|locus|VBIGarVag276801_0241"	"Gardnerella vaginalis JCP7276"	"ATJR01000007"	"PATRIC"	"CDS"	183969893	"VBIGarVag276801_0241"	NA	"Alpha-L-fucosidase (EC 3.2.1.51)"	"3.2.1.51"	"Alpha-L-fucosidase"	"FIG00038920"	"GO:0004560"	"alpha-L-fucosidase activity"	NA	NA	"clust_1140"
