cds_id	ortho_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short
GV01|SEQ00743	clust_1265	VBIGarVag247323_0743	Gardnerella vaginalis 00703Bmash	ADET01000007	PATRIC	CDS	85495648	25505	25651	-	147		hypothetical protein	GV01
GV02|SEQ01020	clust_1265	VBIGarVag242669_1020	Gardnerella vaginalis 00703C2mash	ADEU01000020	PATRIC	CDS	85498895	25752	25898	-	147		hypothetical protein	GV02
GV23|SEQ00029	clust_1265	VBIGarVag276017_0029	Gardnerella vaginalis JCP7659	ATJQ01000005	PATRIC	CDS	183972347	3780	3926	+	147		hypothetical protein	GV23
GV25|SEQ00490	clust_1265	VBIGarVag270495_0490	Gardnerella vaginalis JCP7719	ATJO01000040	PATRIC	CDS	183978913	3281	3457	-	177		hypothetical protein	GV25
GV26|SEQ01288	clust_1265	VBIGarVag272749_1288	Gardnerella vaginalis JCP8017A	ATJN01000162	PATRIC	CDS	183983558	14774	14920	+	147		hypothetical protein	GV26
GV27|SEQ01288	clust_1265	VBIGarVag276930_1288	Gardnerella vaginalis JCP8017B	ATJM01000158	PATRIC	CDS	183986509	13925	14071	+	147		hypothetical protein	GV27
GV28|SEQ00010	clust_1265	VBIGarVag271349_0010	Gardnerella vaginalis JCP8066	ATJL01000004	PATRIC	CDS	183986666	9098	9244	+	147		hypothetical protein	GV28
GV29|SEQ00674	clust_1265	VBIGarVag265473_0674	Gardnerella vaginalis JCP8070	ATJK01000042	PATRIC	CDS	183990798	3279	3425	-	147		hypothetical protein	GV29
GV31|SEQ00630	clust_1265	VBIGarVag264983_0630	Gardnerella vaginalis JCP8151A	ATJI01000029	PATRIC	CDS	183996346	8327	8473	+	147		hypothetical protein	GV31
GV32|SEQ00721	clust_1265	VBIGarVag277040_0721	Gardnerella vaginalis JCP8151B	ATJH01000048	PATRIC	CDS	183999362	5065	5211	-	147		hypothetical protein	GV32
GV35|SEQ01063	clust_1265	VBIGarVag272169_1063	Gardnerella vaginalis JCP8522	ATJE01000153	PATRIC	CDS	184008625	14705	14860	+	156		hypothetical protein	GV35
