all_core	group_core_not_uniq	group_core_uniq	accessory	singleton
GV01	0.549920760697306	0.1513470681458	0.000792393026941363	0.268621236133122	0.0293185419968304
GV02	0.563311688311688	0.155032467532468	0.000811688311688312	0.243506493506494	0.0373376623376623
GV23	0.556535685645549	0.153167602245389	0.000801924619085806	0.266238973536488	0.0232558139534884
GV25	0.535493827160494	0.147376543209877	0.000771604938271605	0.279320987654321	0.037037037037037
GV26	0.518684603886398	0.142750373692078	0.000747384155455904	0.318385650224215	0.0194319880418535
GV27	0.522984174830445	0.143933685003768	0.000753579502637528	0.316503391107762	0.0158251695553881
GV28	0.578815679733111	0.15929941618015	0.000834028356964137	0.226021684737281	0.0350291909924937
GV29	0.57689110556941	0.158769742310889	0.000831255195344971	0.229426433915212	0.0340814630091438
GV31	0.554313099041534	0.152555910543131	0.000798722044728434	0.26038338658147	0.0319488817891374
GV32	0.546456692913386	0.150393700787402	0.00078740157480315	0.259055118110236	0.0433070866141732
GV35	0.59265584970111	0.163108454312553	0.00085397096498719	0.2066609735269	0.0367207514944492
GV10	0.592150170648464	0.224402730375427	0.0102389078498294	0.132252559726962	0.0409556313993174
GV12	0.546026750590087	0.206923682140047	0.00944138473642801	0.171518489378442	0.0660896931549961
GV15	0.604529616724739	0.229094076655052	0.0104529616724739	0.111498257839721	0.0444250871080139
GV17	0.577371048252912	0.218801996672213	0.00998336106489185	0.153910149750416	0.0399334442595674
GV03	0.597760551248923	0.256675279931094	0.00516795865633075	0.10594315245478	0.0344530577088717
GV05	0.589134125636672	0.252971137521222	0.00509337860780985	0.128183361629881	0.0246179966044143
GV07	0.587140439932318	0.252115059221658	0.0050761421319797	0.0922165820642978	0.0634517766497462
GV14	0.593162393162393	0.254700854700855	0.00512820512820513	0.103418803418803	0.0435897435897436
GV04	0.515985130111524	0.142007434944238	0.0118959107806691	0.304089219330855	0.0260223048327138
GV06	0.515985130111524	0.142007434944238	0.0118959107806691	0.294423791821561	0.0356877323420074
GV08	0.538401861908456	0.148176881303336	0.0124127230411171	0.275407292474787	0.0256012412723041
GV09	0.531393568147014	0.14624808575804	0.0122511485451761	0.277182235834609	0.0329249617151608
GV11	0.528963414634146	0.145579268292683	0.0121951219512195	0.269817073170732	0.0434451219512195
GV13	0.535080956052429	0.147262914417887	0.0123361603700848	0.267540478026214	0.0377794911333847
GV16	0.535080956052429	0.147262914417887	0.0123361603700848	0.289128758673863	0.0161912104857363
GV18	0.537984496124031	0.148062015503876	0.0124031007751938	0.249612403100775	0.051937984496124
GV19	0.526156178923427	0.144806671721001	0.0121304018195603	0.282789992418499	0.0341167551175133
GV20	0.512555391432792	0.141063515509601	0.0118168389955687	0.310192023633678	0.0243722304283604
GV21	0.567457072771872	0.156173344235487	0.0130825838103025	0.226492232215863	0.0367947669664759
GV22	0.531800766283525	0.146360153256705	0.0122605363984674	0.286590038314176	0.0229885057471264
GV24	0.561034761519806	0.154405820533549	0.0129345189975748	0.248989490703314	0.0226354082457559
GV30	0.518297236743839	0.142643764002987	0.011949215832711	0.286781179985063	0.0403286034353996
GV33	0.553870710295291	0.312051077414206	0.0949720670391061	0.0119712689545092	0.0271348762968875
GV34	0.560581583198708	0.315831987075929	0.0961227786752827	0.0121163166397415	0.0153473344103393
